Smiles,Log10 Value (nM),Category,subcategoria_nombre
COc1ccc(/C=C2\COc3cc(OC)ccc3C2=O)cc1,5.0,Alto,Rango Superior Medio - Potencia
COc1cccc(-c2nc(NN)n(C)c(=O)c2C#N)c1OC,5.253,Alto,Rango Inferior Medio - Potencia
CC1(C)CCC[C@@]2(C)C1=C(O)C(=O)c1c(O)c3c(c(O)c12)O[C@@H](CO)C3,4.934,Alto,Valores Altos - Potencia
COc1ccc(C2CC(=NO)CC(c3ccc(OC)cc3)N2C)cc1,5.58,Alto,Rango Inferior Medio - Potencia
O=c1cc(/C=C/c2ccc(O)cc2)oc2cc(O)ccc12,4.964,Alto,Valores Altos - Potencia
COc1ccc(CC(=O)c2c(O)cc(O)cc2O)cc1,6.176,Alto,Valores Bajos - Potencia
CCN(CC)c1ccc2cc(-c3nc4cc(C5=NCCCN5)ccc4[nH]3)c(=O)oc2c1.Cl,5.041,Alto,Rango Superior Medio - Potencia
Cc1cc2c(O)c3c(c(O)c2o1)[C@@]1(C)CCCC(C)(C)C1=C(O)C3=O,4.881,Alto,Valores Altos - Potencia
CCN(CC)C(=O)COc1ccc(-c2cc(=O)c3c(O)c(O)c(O)cc3o2)cc1,4.91,Alto,Valores Altos - Potencia
CCOC(=O)C(C)(C)Oc1ccc(C(=O)c2cc3cc(Cl)ccc3oc2=O)cc1,5.0,Alto,Rango Superior Medio - Potencia
S=C(Nc1ccc(Cl)cc1)Nn1c(S)nnc1-c1cnccn1,4.88,Alto,Valores Altos - Potencia
COc1cc(/C=C/C(=O)/C=C/c2ccc(C)c(C)c2)cc(OC)c1O,5.053,Alto,Rango Superior Medio - Potencia
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,6.441,Alto,Valores Bajos - Potencia
COC(=O)c1c(C(=O)c2c(O)cc(C)cc2OC)c(OC)cc(O)c1[S@+](C)[O-],5.0,Alto,Rango Superior Medio - Potencia
CC1(C)C(O)c2ccccc2C=[N+]1[O-],6.74,Alto,Valores Bajos - Potencia
CCc1nnc(S)s1,4.924,Alto,Valores Altos - Potencia
Nc1c2c(nc3ccccc13)CCCC2,6.0,Alto,Valores Bajos - Potencia
CCOC(=O)[C@@H]1C(=O)N(Cc2ccccc2)C[C@@H](O)[C@H]1c1ccc(C)cc1,5.0,Alto,Rango Superior Medio - Potencia
O=C1[Se]C(=O)c2ccccc21,4.87,Alto,Valores Altos - Potencia
Cc1cccc2nc(-c3ccc(C(=O)N/N=C/c4ccc(O)cc4O)cc3)[nH]c12,4.964,Alto,Valores Altos - Potencia
CCOC(=O)[C@H](CC(C)C)NC(=O)/C=C/c1ccc(OC(C)=O)c(OC)c1,5.699,Alto,Rango Inferior Medio - Potencia
COc1ccc(-c2[nH]c(=S)[nH]c2-c2ccccc2)cc1,4.942,Alto,Valores Altos - Potencia
O=C(/C=C/c1cccc(O)c1)CC(=O)/C=C/c1cc(O)ccc1O,4.944,Alto,Valores Altos - Potencia
COc1c(-c2cccc(C)c2)c(C)nn1-c1ccccc1,4.977,Alto,Rango Superior Medio - Potencia
CCO[C@H]1Oc2c(c(C(C)=O)c(O)c3ccccc23)[C@@H]1C,5.543,Alto,Rango Inferior Medio - Potencia
CCOC(=O)N1CCC(=NNC(=O)c2ccc(Cl)cc2)CC1,4.859,Alto,Valores Altos - Potencia
COc1cc(C[C@H](C)[C@H](C)Cc2ccc3c(c2)OCO3)ccc1O,4.876,Alto,Valores Altos - Potencia
COC(=O)c1c2c(cc(OC)c1C(=O)c1c(O)cc(C)cc1OC)O[C@H](OC)CS2,5.0,Alto,Rango Superior Medio - Potencia
CCN(CC)CCCOc1ccc2c(=O)c3ccccc3oc2c1,4.929,Alto,Valores Altos - Potencia
Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,5.396,Alto,Rango Inferior Medio - Potencia
CC(=O)Oc1c(O)c(-c2ccc(O)cc2)c(OC(=O)C[C@@H](C)OC(C)=O)c(O)c1-c1ccc(O)cc1,5.699,Alto,Rango Inferior Medio - Potencia
O=C1c2ccccc2C=[N+]([O-])C12CCCC2,5.196,Alto,Rango Superior Medio - Potencia
Cc1ccc2[nH]c(=O)c(/C=N/O)cc2c1,6.297,Alto,Valores Bajos - Potencia
CC(C)[C@@H]1CC[C@@H](C)C[C@@]12N(C)C(=O)[C@@H]1[C@H]3C(=O)N(c4ccc(Cl)cc4)C(=O)[C@H]3ON12,6.683,Alto,Valores Bajos - Potencia
COc1ccc(O)c(/C=N/c2ccc(OCc3ccccc3)cc2)c1,5.301,Alto,Rango Inferior Medio - Potencia
COc1cc([C@H]2c3cc4c(cc3C[C@@H](C)[C@@H]2C)OCO4)ccc1O,5.258,Alto,Rango Inferior Medio - Potencia
CCOC(=O)C(C)(C)Oc1ccc(C(=O)c2cc3c(ccc4ccccc43)oc2=O)cc1,5.0,Alto,Rango Superior Medio - Potencia
CN1c2ccccc2Sc2ccc(C3(O)CN(C)C4CCCCC4O3)cc21,5.602,Alto,Rango Inferior Medio - Potencia
COc1ccc(-c2coc3cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)ccc3c2=O)cc1,5.219,Alto,Rango Superior Medio - Potencia
COc1cccc(/C=N/N2C(=O)c3cccc4cccc(c34)C2=O)c1O,6.616,Alto,Valores Bajos - Potencia
CC(=O)c1ccc(NC(=O)CN(C(=O)c2ccccc2)S(=O)(=O)c2ccccc2)cc1,7.505,Alto,Valores Bajos - Potencia
COC(=O)[C@H](Cc1cn(CCCc2ccccc2)c2ccccc12)NC(C)=O,5.704,Alto,Valores Bajos - Potencia
O=C(N/N=C/c1c(O)ccc2ccccc12)c1ccc(Cl)cc1,5.568,Alto,Rango Inferior Medio - Potencia
COc1ccc(O)c(/C=C/C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)c1,4.976,Alto,Rango Superior Medio - Potencia
O=c1[nH]c2ccccc2cc1/C=N/Nc1ccc([N+](=O)[O-])cc1,5.231,Alto,Rango Inferior Medio - Potencia
CC1(C)O[C@H]2[C@H](O)C[C@@]3(C[C@H]2O1)OC(C)(C)OC3=O,5.565,Alto,Rango Inferior Medio - Potencia
O=C1NN=C2C=C(c3cccs3)CC(c3cccc([N+](=O)[O-])c3)C12,5.472,Alto,Rango Inferior Medio - Potencia
NS(=O)(=O)c1ccc(NC(=S)NC(=O)c2ccc(Cl)cc2Cl)cc1,5.67,Alto,Rango Inferior Medio - Potencia
COc1cc(C2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3OC2CO)ccc1O,4.826,Alto,Valores Altos - Potencia
C[C@]12CC[C@H]3C[C@@]3(C)C1=C(O)C(=O)c1c2c(O)c2oc(CO)cc2c1O,5.004,Alto,Rango Superior Medio - Potencia
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,6.441,Alto,Valores Bajos - Potencia
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,4.918,Alto,Valores Altos - Potencia
Cc1cc2c(O)c3c(c(O)c2o1)[C@@]1(C)CC[C@H]2C[C@@]2(C)[C@@H]1CC3=O,5.114,Alto,Rango Superior Medio - Potencia
CCC(=O)Nc1nc2ccc(C)cc2s1,6.602,Alto,Valores Bajos - Potencia
Cc1ccc(N2C(=O)[C@H]3[C@H](ON4[C@@H]3C(=O)N(C)[C@@]43C[C@H](C)CC[C@H]3C(C)C)C2=O)c(C)c1,6.056,Alto,Valores Bajos - Potencia
O=c1ccc2cc3ccoc3c(O)c2o1,4.843,Alto,Valores Altos - Potencia
COc1c2cc(c(OC)c1OC)-c1cc(ccc1O)CC(O)C(=O)CCCC2,4.867,Alto,Valores Altos - Potencia
CN(CCCCOc1cc(O)c2c(=O)c3ccccc3oc2c1)Cc1ccc(O)cc1,4.826,Alto,Valores Altos - Potencia
COC(=O)c1cc(O)cc(OC)c1C(=O)c1c(O)cc(C)cc1OC,5.0,Alto,Rango Superior Medio - Potencia
Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,5.396,Alto,Rango Inferior Medio - Potencia
COc1cc(C=O)ccc1O,5.0,Alto,Rango Superior Medio - Potencia
CCOC(=O)N1CCC(=NNC(=O)c2ccc(F)cc2)CC1,4.874,Alto,Valores Altos - Potencia
O=C(NN=C1CC(c2ccccc2)NC(c2ccccc2)C1)c1ccc(F)cc1,4.923,Alto,Valores Altos - Potencia
O=C(/C=C/c1cccc([N+](=O)[O-])c1)c1ccc(O)cc1,5.537,Alto,Rango Inferior Medio - Potencia
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,4.959,Alto,Valores Altos - Potencia
CCCC(=O)Oc1c(O)c(-c2ccc(O)cc2)c(OC(C)=O)c(O)c1-c1ccc(O)cc1,5.699,Alto,Rango Inferior Medio - Potencia
O=C(/C=C/c1ccccc1)c1cccc(NC(=O)c2cc(-c3ccncc3)n[nH]2)c1,4.827,Alto,Valores Altos - Potencia
CCOC(=O)N1CCC(=NNC(=O)c2ccc(C)cc2)CC1,4.878,Alto,Valores Altos - Potencia
Nc1nc(N2CCCCC2)sc1C(=O)c1cc2ccccc2oc1=O,4.885,Alto,Valores Altos - Potencia
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,4.918,Alto,Valores Altos - Potencia
O=c1oc2ccc(Cl)cc2cc1-c1nc2ccccc2[nH]1,7.143,Alto,Valores Bajos - Potencia
CC1CCC(=NNc2nc(-c3cccc([N+](=O)[O-])c3)cs2)CC1,6.072,Alto,Valores Bajos - Potencia
CCN(C)C(=O)Oc1cccc(CCNC(=O)c2cc(=O)c3ccccc3o2)c1,5.0,Alto,Rango Superior Medio - Potencia
COc1cc(CCc2cc(O)cc(O)c2)ccc1O,5.131,Alto,Rango Superior Medio - Potencia
O=C(/C=C/c1ccc(O)c(O)c1)c1c(O)cc(O)cc1O,4.881,Alto,Valores Altos - Potencia
COc1ccc(CCc2ccccc2O)cc1OC,5.588,Alto,Rango Inferior Medio - Potencia
Cc1ccc(C(=O)c2cc3ccccc3oc2=S)cc1,6.294,Alto,Valores Bajos - Potencia
O=C(/C=C/c1cccc([N+](=O)[O-])c1)c1ccc(Br)cc1,5.709,Alto,Valores Bajos - Potencia
COc1ccc(/C=C/C(=O)/C=C/c2ccc(OC)c(O)c2)cc1O,4.964,Alto,Valores Altos - Potencia
CCCN1CN(CC(=O)O)CSC1=S,4.885,Alto,Valores Altos - Potencia
COC(=O)/C=C/c1ccc(O)cc1,5.538,Alto,Rango Inferior Medio - Potencia
COc1ccc(O)c(/C=C/C(=O)/C=C/c2ccc(OC)c(OC)c2)c1,4.974,Alto,Rango Superior Medio - Potencia
Cn1c(NN)nc(-c2cccc(O)c2O)c(C#N)c1=O,5.207,Alto,Rango Superior Medio - Potencia
CN1CC(O)(c2ccc(-c3ccc(Br)s3)cc2)OC2CCCCC21,5.204,Alto,Rango Superior Medio - Potencia
CCCC/N=C/c1cc2ccccc2[nH]c1=O,6.885,Alto,Valores Bajos - Potencia
COC(=O)c1c(O)c2ccccc2c2occc12,5.616,Alto,Rango Inferior Medio - Potencia
COC(=O)[C@H](CS)NC(=O)Cc1ccc(O)c(OC)c1,4.914,Alto,Valores Altos - Potencia
Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,5.078,Alto,Rango Superior Medio - Potencia
COc1cc(/C=C/C(=O)O)ccc1O,4.875,Alto,Valores Altos - Potencia
COc1cc2c(cc1OC)-c1[nH]c3ccccc3c1C2,4.987,Alto,Rango Superior Medio - Potencia
COC(=O)[C@]1(Cc2ccc3c(c2)CCC(C)(C)O3)OC(=O)C(O)=C1c1ccc(O)cc1,4.987,Alto,Rango Superior Medio - Potencia
C[C@@H]1Oc2c(O)c3c(c(O)c2[C@H]1O)C(=O)C(O)=C1[C@]3(C)CC[C@H]2C[C@@]12C,4.924,Alto,Valores Altos - Potencia
COc1ccc(C(=O)/C=C/c2cccc([N+](=O)[O-])c2)cc1,5.679,Alto,Rango Inferior Medio - Potencia
NS(=O)(=O)c1ccc(NC(=S)NC(=O)c2cccs2)cc1,5.176,Alto,Rango Superior Medio - Potencia
N#CC1=C(N)OC(c2c[nH]c3ccccc23)=C(C#N)C1c1ccc(Br)cc1,5.451,Alto,Rango Inferior Medio - Potencia
COc1c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(OCCN3CCOCC3)c2c1=O.Cl,5.0,Alto,Rango Superior Medio - Potencia
N/N=C\c1cc(=O)oc2cc(OCc3ccccc3)ccc12,6.11,Alto,Valores Bajos - Potencia
CCC/C(C)=N\Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1,6.079,Alto,Valores Bajos - Potencia
COc1ccc(CC(=O)c2c(O)cc(O)cc2O)cc1,6.176,Alto,Valores Bajos - Potencia
COc1cc(O)c(C(C)=O)cc1Br,7.193,Alto,Valores Bajos - Potencia
