Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,Unnamed: 48,Normalized Value (nM),Log10 Value (nM),Deviation_from_mean,Deviation_from_median,Mean_log10,Median_log10,Std_log10,Anderson_stat,Anderson_critical_value_5pct,Skewness,Kurtosis,Category,Subcategory
CHEMBL1668326,,,,0.0,"2,28",,CCC[C@H]1C[C@H]2OC(=O)c3c(cc(OC)c(O)c3O)[C@H]2O1,IC50,0,38000.0,nM,"4,42",,,UO_0000065,,,,,0.0,CHEMBL4200230,Antioxidant activity assessed as DPPH radical scavenging activity incubated for 30 mins in dark condition,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL4196140,1,,J Nat Prod,2018,,,,,38,,38000.0,4.58,0.0409474778642335,0.0520000000000004,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,rango inferior medio - potencia
CHEMBL196,ASCORBIC ACID,4,,0.0,"-1,41",,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,IC50,0,39000.0,nM,"4,41",,,UO_0000065,,,,,0.0,CHEMBL4200230,Antioxidant activity assessed as DPPH radical scavenging activity incubated for 30 mins in dark condition,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL4196140,1,,J Nat Prod,2018,,,,,39,,39000.0,4.591,0.0519474778642337,0.0630000000000006,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,rango inferior medio - potencia
CHEMBL4227873,,,,1.0,"5,12",,Oc1cccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c1,IC50,0,61820.0,nM,"4,21",,,UO_0000065,,,,,0.0,CHEMBL4220745,Antioxidant activity in brain homogenate (unknown origin) assessed as decrease in TBARS formation by UV-visible spectrophotometric method,F,BAO_0000221,tissue-based format,,,,,,,,,CHEMBL4296527,Brain,,,CHEMBL4219069,1,,Bioorg Med Chem,2018,,,,,"61,82",,61820.0,4.791,0.2519474778642339,0.2630000000000008,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores bajos - potencia
CHEMBL390388,,,,1.0,"5,12",,Oc1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)cc1,IC50,0,62370.0,nM,"4,21",,,UO_0000065,,,,,0.0,CHEMBL4220745,Antioxidant activity in brain homogenate (unknown origin) assessed as decrease in TBARS formation by UV-visible spectrophotometric method,F,BAO_0000221,tissue-based format,,,,,,,,,CHEMBL4296527,Brain,,,CHEMBL4219069,1,,Bioorg Med Chem,2018,,,,,"62,37",,62370.0,4.795,0.2559474778642334,0.2670000000000003,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores bajos - potencia
CHEMBL4228084,,,,0.0,"4,82",,Oc1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)cc1O,IC50,0,59420.0,nM,"4,23",,,UO_0000065,,,,,0.0,CHEMBL4220745,Antioxidant activity in brain homogenate (unknown origin) assessed as decrease in TBARS formation by UV-visible spectrophotometric method,F,BAO_0000221,tissue-based format,,,,,,,,,CHEMBL4296527,Brain,,,CHEMBL4219069,1,,Bioorg Med Chem,2018,,,,,"59,42",,59420.0,4.774,0.2349474778642335,0.2460000000000004,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores bajos - potencia
CHEMBL601724,,,,1.0,"5,44",,COc1cc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)cc(OC)c1OC,IC50,0,61290.0,nM,"4,21",,,UO_0000065,,,,,0.0,CHEMBL4220745,Antioxidant activity in brain homogenate (unknown origin) assessed as decrease in TBARS formation by UV-visible spectrophotometric method,F,BAO_0000221,tissue-based format,,,,,,,,,CHEMBL4296527,Brain,,,CHEMBL4219069,1,,Bioorg Med Chem,2018,,,,,"61,29",,61290.0,4.787,0.2479474778642334,0.2590000000000003,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores bajos - potencia
CHEMBL196,ASCORBIC ACID,4,,0.0,"-1,41",,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,IC50,0,38770.0,nM,"4,41",,,UO_0000065,,,,,0.0,CHEMBL4220745,Antioxidant activity in brain homogenate (unknown origin) assessed as decrease in TBARS formation by UV-visible spectrophotometric method,F,BAO_0000221,tissue-based format,,,,,,,,,CHEMBL4296527,Brain,,,CHEMBL4219069,1,,Bioorg Med Chem,2018,,,,,"38,77",,38770.0,4.588,0.0489474778642335,0.0600000000000005,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,rango inferior medio - potencia
CHEMBL4285541,,,,0.0,"4,32",,COc1cc(CN(Cc2ccccc2)Cc2ccc(O)c(OC)c2)ccc1O,IC50,0,29700.0,nM,"4,53",,,UO_0000065,,,,,0.0,CHEMBL4253121,Antioxidant activity assessed as DPPH radical scavenging activity after 30 mins,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL4251590,1,,Eur J Med Chem,2018,,,,,"29,7",,29700.0,4.473,-0.0660525221357666,-0.0549999999999997,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,rango superior medio - potencia
CHEMBL4293375,,,,0.0,"3,92",,CCCCN(Cc1ccc(O)c(OC)c1)Cc1ccc(O)c(OC)c1,IC50,0,21900.0,nM,"4,66",,,UO_0000065,,,,,0.0,CHEMBL4253121,Antioxidant activity assessed as DPPH radical scavenging activity after 30 mins,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL4251590,1,,Eur J Med Chem,2018,,,,,"21,9",,21900.0,4.34,-0.1990525221357666,-0.1879999999999997,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores altos - potencia
CHEMBL4282118,,,,0.0,"3,67",,COc1cc(CN(CCCCCCO)Cc2ccc(O)c(OC)c2)ccc1O,IC50,0,22200.0,nM,"4,65",,,UO_0000065,,,,,0.0,CHEMBL4253121,Antioxidant activity assessed as DPPH radical scavenging activity after 30 mins,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL4251590,1,,Eur J Med Chem,2018,,,,,"22,2",,22200.0,4.346,-0.1930525221357664,-0.1819999999999995,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores altos - potencia
