Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,Unnamed: 48,Normalized Value (nM),Log10 Value (nM),Deviation_from_mean,Deviation_from_median,Mean_log10,Median_log10,Std_log10,Anderson_stat,Anderson_critical_value_5pct,Skewness,Kurtosis,Category,subcategoria,subcategoria_nombre,Stats_count,Stats_mean,Stats_std,Stats_min,Stats_25%,Stats_50%,Stats_75%,Stats_max,Count_Subcategoria
CHEMBL5088826,,,324.38,,4.44,,CC(C)=CCOc1cc(O)c2c(c1)OC(c1ccccc1)CC2=O,IC50,=,7320.0,nM,5.13,,,UO_0000065,,,,,,CHEMBL5031445,Antioxidant activity assessed as ABTS radical scavenging activity,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL5030530,1,,Bioorg Med Chem Lett,2021,,,,,7.32,,7320.0,3.865,0.282982880161128,0.1140000000000003,3.582017119838872,3.751,0.5912252150784535,178.7651673005303,0.786,-2.1081725006758534,8.750841894948406,Bajo,1,Bajo - Potencia Media,1656.0,4991.787258454106,1629.9626823697647,2400.0,3500.0,4730.0,6500.0,8000.0,1656
CHEMBL5083618,,,342.37,,4.58,,CC(C)=CCOc1cc(O)c2c(c1)OC(c1ccccc1F)CC2=O,IC50,=,5300.0,nM,5.28,,,UO_0000065,,,,,,CHEMBL5031445,Antioxidant activity assessed as ABTS radical scavenging activity,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL5030530,1,,Bioorg Med Chem Lett,2021,,,,,5.3,,5300.0,3.724,0.141982880161128,-0.0269999999999996,3.582017119838872,3.751,0.5912252150784535,178.7651673005303,0.786,-2.1081725006758534,8.750841894948406,Bajo,1,Bajo - Potencia Media,1656.0,4991.787258454106,1629.9626823697647,2400.0,3500.0,4730.0,6500.0,8000.0,1656
CHEMBL5081143,,,342.37,,4.58,,CC(C)=CCOc1cc(O)c2c(c1)OC(c1cccc(F)c1)CC2=O,IC50,=,7240.0,nM,5.14,,,UO_0000065,,,,,,CHEMBL5031445,Antioxidant activity assessed as ABTS radical scavenging activity,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL5030530,1,,Bioorg Med Chem Lett,2021,,,,,7.24,,7240.0,3.86,0.2779828801611277,0.1089999999999999,3.582017119838872,3.751,0.5912252150784535,178.7651673005303,0.786,-2.1081725006758534,8.750841894948406,Bajo,1,Bajo - Potencia Media,1656.0,4991.787258454106,1629.9626823697647,2400.0,3500.0,4730.0,6500.0,8000.0,1656
CHEMBL5197511,,,543.06,,6.29,,COc1ccc2cc3[n+](cc2c1OCCCCCn1ccc2ccccc21)CCc1cc2c(cc1-3)OCO2.[Cl-],IC50,=,9640.0,nM,5.02,,,UO_0000065,,,,,,CHEMBL5097545,Antioxidant activity assessed as ABTS radical scavenging activity incubated for 10 mins by UV spectrophotometeric analysis,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL5096175,1,,Bioorg Med Chem,2021,,,,,9.64,,9640.0,3.984,0.4019828801611278,0.2330000000000001,3.582017119838872,3.751,0.5912252150784535,178.7651673005303,0.786,-2.1081725006758534,8.750841894948406,Bajo,2,Bajo - Potencia Baja,1654.0,11896.939564691656,2415.4663244112853,8020.0,10000.0,11700.0,13910.0,16670.0,1654
CHEMBL5170469,,,557.09,,6.60,,COc1ccc2cc3[n+](cc2c1OCCCCCn1c(C)cc2ccccc21)CCc1cc2c(cc1-3)OCO2.[Cl-],IC50,=,9090.0,nM,5.04,,,UO_0000065,,,,,,CHEMBL5097545,Antioxidant activity assessed as ABTS radical scavenging activity incubated for 10 mins by UV spectrophotometeric analysis,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL5096175,1,,Bioorg Med Chem,2021,,,,,9.09,,9090.0,3.959,0.3769828801611279,0.2080000000000001,3.582017119838872,3.751,0.5912252150784535,178.7651673005303,0.786,-2.1081725006758534,8.750841894948406,Bajo,2,Bajo - Potencia Baja,1654.0,11896.939564691656,2415.4663244112853,8020.0,10000.0,11700.0,13910.0,16670.0,1654
CHEMBL5182070,,,392.49,,2.76,,CCCC1C(=O)C2CCC3(C)CC(C)C(O3)C(O)/C=C(\C)C(=O)CC1OC2=O,IC50,=,2400.0,nM,5.62,,,UO_0000065,,,,,,CHEMBL5108643,Antioxidant activity assessed as free radical scavenging activity incubated for 30 mins under dark condition by microplate reader analysis,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL5107956,1,,Eur J Med Chem,2022,,,,,2.4,,2400.0,3.38,-0.2020171198388722,-0.371,3.582017119838872,3.751,0.5912252150784535,178.7651673005303,0.786,-2.1081725006758534,8.750841894948406,Bajo,1,Bajo - Potencia Media,1656.0,4991.787258454106,1629.9626823697647,2400.0,3500.0,4730.0,6500.0,8000.0,1656
CHEMBL5182502,,,406.52,,3.89,,C=C1C(=O)CC2OC(=O)C(=C(O)C2CC)CCC2(C)CC(C)C(O2)C(C)C1OC,IC50,=,2400.0,nM,5.62,,,UO_0000065,,,,,,CHEMBL5108643,Antioxidant activity assessed as free radical scavenging activity incubated for 30 mins under dark condition by microplate reader analysis,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL5107956,1,,Eur J Med Chem,2022,,,,,2.4,,2400.0,3.38,-0.2020171198388722,-0.371,3.582017119838872,3.751,0.5912252150784535,178.7651673005303,0.786,-2.1081725006758534,8.750841894948406,Bajo,1,Bajo - Potencia Media,1656.0,4991.787258454106,1629.9626823697647,2400.0,3500.0,4730.0,6500.0,8000.0,1656
CHEMBL5180817,,,234.29,,2.66,,C/C=C/C=C/CCc1c(O)ccc(O)c1CO,IC50,=,9300.0,nM,5.03,,,UO_0000065,,,,,,CHEMBL5108643,Antioxidant activity assessed as free radical scavenging activity incubated for 30 mins under dark condition by microplate reader analysis,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL5107956,1,,Eur J Med Chem,2022,,,,,9.3,,9300.0,3.968,0.3859828801611278,0.217,3.582017119838872,3.751,0.5912252150784535,178.7651673005303,0.786,-2.1081725006758534,8.750841894948406,Bajo,2,Bajo - Potencia Baja,1654.0,11896.939564691656,2415.4663244112853,8020.0,10000.0,11700.0,13910.0,16670.0,1654
CHEMBL5181747,,,225.24,,0.60,,O=C(NCCCCO)c1ccc(O)c(O)c1,IC50,=,4700.0,nM,5.33,,,UO_0000065,,,,,,CHEMBL5108689,Antioxidant activity assessed as free radical scavenging activity incubated for 30 mins by microplate reader analysis,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL5107956,1,,Eur J Med Chem,2022,,,,,4.7,,4700.0,3.672,0.0899828801611279,-0.0789999999999997,3.582017119838872,3.751,0.5912252150784535,178.7651673005303,0.786,-2.1081725006758534,8.750841894948406,Bajo,1,Bajo - Potencia Media,1656.0,4991.787258454106,1629.9626823697647,2400.0,3500.0,4730.0,6500.0,8000.0,1656
CHEMBL5207859,,,267.28,,1.17,,CC(=O)OCCCCNC(=O)c1ccc(O)c(O)c1,IC50,=,4700.0,nM,5.33,,,UO_0000065,,,,,,CHEMBL5108689,Antioxidant activity assessed as free radical scavenging activity incubated for 30 mins by microplate reader analysis,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL5107956,1,,Eur J Med Chem,2022,,,,,4.7,,4700.0,3.672,0.0899828801611279,-0.0789999999999997,3.582017119838872,3.751,0.5912252150784535,178.7651673005303,0.786,-2.1081725006758534,8.750841894948406,Bajo,1,Bajo - Potencia Media,1656.0,4991.787258454106,1629.9626823697647,2400.0,3500.0,4730.0,6500.0,8000.0,1656
